iter	Passed	Remaining
0	274	40943
1	543	40241
2	818	40094
3	1091	39844
4	1363	39543
5	1650	39603
6	1929	39406
7	2205	39139
8	2470	38703
9	2738	38333
10	3029	38277
11	3325	38244
12	3584	37780
13	3858	37485
14	4115	37036
15	4387	36743
16	4660	36463
17	4947	36282
18	5195	35821
19	5436	35334
20	5680	34894
21	5924	34471
22	6190	34183
23	6450	33867
24	6708	33541
25	6943	33115
26	7215	32872
27	7459	32503
28	7705	32149
29	7943	31772
30	8193	31452
31	8424	31065
32	8667	30728
33	8921	30439
34	9175	30147
35	9427	29854
36	9662	29511
37	9899	29178
38	10129	28829
39	10387	28566
40	10624	28244
41	10891	28005
42	11101	27623
43	11334	27305
44	11586	27036
45	11804	26688
46	12055	26420
47	12315	26169
48	12558	25885
49	12768	25537
50	12966	25169
51	13213	24903
52	13462	24639
53	13709	24372
54	13936	24072
55	14127	23714
56	14317	23360
57	14528	23045
58	14784	22803
59	15062	22593
60	15280	22295
61	15504	22006
62	15767	21774
63	15972	21462
64	16180	21159
65	16409	20884
66	16614	20581
67	16800	20259
68	17041	20005
69	17271	19738
70	17487	19458
71	17660	19132
72	17904	18885
73	18111	18600
74	18307	18307
75	18565	18076
76	18828	17850
77	19056	17590
78	19283	17330
79	19550	17106
80	19765	16837
81	20005	16589
82	20253	16349
83	20448	16066
84	20691	15822
85	20936	15580
86	21134	15304
87	21326	15025
88	21528	14755
89	21763	14508
90	21998	14262
91	22225	14011
92	22475	13775
93	22753	13555
94	22973	13300
95	23162	13028
96	23382	12776
97	23601	12523
98	23810	12265
99	24097	12048
100	24309	11793
101	24540	11548
102	24766	11301
103	24958	11039
104	25147	10777
105	25358	10526
106	25535	10261
107	25787	10028
108	25949	9760
109	26189	9523
110	26397	9274
111	26618	9031
112	26852	8792
113	27093	8555
114	27329	8317
115	27557	8077
116	27803	7841
117	28032	7601
118	28236	7355
119	28472	7118
120	28686	6875
121	28881	6628
122	29145	6397
123	29330	6149
124	29518	5903
125	29776	5671
126	30013	5435
127	30263	5201
128	30469	4960
129	30692	4721
130	30913	4483
131	31136	4245
132	31345	4006
133	31545	3766
134	31812	3534
135	32022	3296
136	32225	3057
137	32456	2822
138	32671	2585
139	32873	2348
140	33125	2114
141	33374	1880
142	33591	1644
143	33771	1407
144	33980	1171
145	34207	937
146	34444	702
147	34662	468
148	34870	234
149	35101	0
